epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
23 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,150528,301056,23520,23520,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164352,0,0,150528,22127616,0.0243317,150528,0.0136562,150528,0.00568925,53.165,0.0115341,28.8871,0.00521662
24 ,0,0,0,0,0,0,6144,0,6144,12288,0,12288,326144,25088,351232,19600,3920,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175616,0,156672,25088,9709056,0.0106762,50176,0.00455205,54880,0.00207421,48.6304,0.00351679,59.0768,0.00355616
25 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,6144,150528,10085376,0.01109,150528,0.0136562,150528,0.00568925,62.8638,0.0136383,19.2068,0.0034685
26 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,37632,188160,23520,5880,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,13824,37632,5531904,0.00608292,150528,0.0136562,150528,0.00568925,33.8322,0.00733988,25.8494,0.00466806
27 ,0,0,0,0,0,0,12288,0,12288,24576,0,24576,150528,12544,163072,7840,1960,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75264,12544,87552,0,4841984,0.00532428,25088,0.00227603,73728,0.00278657,54.5947,0.00197405,137.577,0.00414075
28 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,75264,150528,0,9859584,0.0108417,75264,0.00682808,147456,0.00557315,125.902,0.0136572,88.241,0.00796757
29 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648,75264,75264,0,11063808,0.0121658,75264,0.00682808,165888,0.00626979,70.79,0.00767893,89.4993,0.00808119
30 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137472,12544,200704,0,9671424,0.0106348,33451,0.00303473,147456,0.00557315,78.2602,0.00377304,206.581,0.00829028
31 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,75264,150528,0,9859584,0.0108417,75264,0.00682808,147456,0.00557315,125.902,0.0136572,88.241,0.00796757
32 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648,75264,75264,0,11063808,0.0121658,75264,0.00682808,165888,0.00626979,70.79,0.00767893,89.4993,0.00808119
33 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137472,12544,200704,0,9671424,0.0106348,33451,0.00303473,147456,0.00557315,78.2602,0.00377304,206.581,0.00829028
34 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,74752,75264,9859584,0.0108417,75264,0.00682808,147456,0.00557315,125.902,0.0136572,88.241,0.00796757
35 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102912,0,0,75264,11063808,0.0121658,75264,0.00682808,165888,0.00626979,70.79,0.00767893,89.4993,0.00808119
36 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137472,12544,200704,0,9671424,0.0106348,33451,0.00303473,147456,0.00557315,78.2602,0.00377304,206.581,0.00829028
37 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,75264,150528,0,9859584,0.0108417,75264,0.00682808,147456,0.00557315,125.902,0.0136572,88.241,0.00796757
38 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648,75264,75264,0,11063808,0.0121658,75264,0.00682808,165888,0.00626979,70.79,0.00767893,89.4993,0.00808119
